AL, Assign to DEM, S= 1, N= 7, Vf=0.3863, Sf=0.1429, PR= 3, Δ=+0.2857, Case 1
PA, Assign to DEM, S= 5, N=18, Vf=0.5076, Sf=0.2778, PR= 9, Δ=+0.2222, Case 1
RI, Assign to REP, S= 2, N= 2, Vf=0.5897, Sf=1.0000, PR= 1, Δ=-0.5000, Case 2
SC, Assign to DEM, S= 1, N= 7, Vf=0.4162, Sf=0.1429, PR= 3, Δ=+0.2857, Case 1
SD, Assign to DEM, S= 0, N= 1, Vf=0.4255, Sf=0.0000, PR= 0, Δ=+0.0000, Case 3
TN, Assign to DEM, S= 2, N= 9, Vf=0.3900, Sf=0.2222, PR= 4, Δ=+0.2222, Case 1
TX, Assign to DEM, S=12, N=36, Vf=0.4238, Sf=0.3333, PR=15, Δ=+0.0833, Case 1
UT, Assign to DEM, S= 1, N= 4, Vf=0.3336, Sf=0.2500, PR= 1, Δ=+0.0000, Case 3
VT, Assign to REP, S= 1, N= 1, Vf=0.7554, Sf=1.0000, PR= 1, Δ=+0.0000, Case 3
VA, Assign to DEM, S= 3, N=11, Vf=0.4904, Sf=0.2727, PR= 5, Δ=+0.1818, Case 1
WA, Assign to REP, S= 6, N=10, Vf=0.5444, Sf=0.6000, PR= 5, Δ=-0.1000, Case 2
WV, Assign to DEM, S= 1, N= 3, Vf=0.4009, Sf=0.3333, PR= 1, Δ=+0.0000, Case 3
WI, Assign to DEM, S= 3, N= 8, Vf=0.5076, Sf=0.3750, PR= 4, Δ=+0.1250, Case 2
WY, Assign to DEM, S= 0, N= 1, Vf=0.2570, Sf=0.0000, PR= 0, Δ=+0.0000, Case 3
