HOUSE SEAT,PRIORITY VALUE,STATE,STATE SEAT
671,461131,MI,22
672,459552,MS,7
673,459487,VA,18
674,458594,KY,10
675,458193,CA,82
676,457946,AL,11
677,456998,NY,43
678,456224,WI,13
679,455473,FL,42
680,455305,TX,56
681,454230,ID,4
682,453754,OH,26
683,453563,OR,9
684,452658,MA,15
685,452638,CA,83
686,452567,GA,22
687,451815,NJ,20
688,451527,AR,7
689,451451,IL,29
690,448652,IN,15
691,447246,TX,57
692,447217,CA,84
693,446908,PA,29
694,446491,NY,44
695,445716,VT,2
696,445600,MO,14
697,445040,NC,22
698,444755,FL,43
699,443696,OK,9
700,442976,SC,11
